Date,Status,FullName
2022-06-02 11:09:00,Unfollow,Dr Hubert Silly
2022-06-01 19:32:39,Unfollow,Gnyanda Golchha
2022-05-26 12:18:55,Active,Arghya Sarkar
2022-05-09 05:33:17,Active,Atrayee Misra
2022-05-07 12:05:39,Active,Badrish Prakash
2022-05-07 08:01:27,Active,Protick Mondal
2022-05-04 17:37:30,Active,Koustav Banerjee
2022-04-29 18:53:59,Active,"Damien Benveniste, PhD"
2022-04-07 11:52:21,Active,Sharika TV
2022-03-24 05:50:00,Active,"Bojan Tunguz, Ph.D."
2022-03-22 05:45:53,Active,Patel Neer
2022-03-14 10:34:26,Active,"John B. Rollins, Ph.D."
2022-02-24 22:06:52,Active,Lex Fridman
2022-02-01 22:24:39,Active,Corina Balaneanu
2022-01-30 01:09:31,Active,Anupam Mittal
2022-01-30 01:09:13,Active,Ashneer Grover
2022-01-30 01:08:50,Active,Ghazal Alagh
2022-01-30 01:08:27,Active,Vineeta Singh
2022-01-28 12:02:51,Active,Krishna Kumar
2022-01-28 07:16:14,Active,Peyush Bansal
2022-01-26 08:21:27,Active,Aman Gupta
2022-01-19 19:29:11,Active,Pulkit Khandelwal
2022-01-19 16:51:58,Unfollow,Sujata Mishra
2021-11-27 11:44:21,Unfollow,Anne Mathew
2021-11-26 05:17:35,Active,Prafull Billore
2021-11-21 15:49:03,Active,Sarah Davidson 🔐
2021-11-16 10:06:04,Active,Aishwarya Srinivasan
2021-11-02 06:19:04,Unfollow,Anurag Mukherjee
2021-10-21 06:05:08,Active,Nidhi Arora
2021-10-21 05:53:56,Active,Rohit Kapoor
2021-10-02 17:14:01,Active,Takayuki Yamazaki
2021-07-19 03:01:15,Unfollow,"Anirudha Nandy, CSPO®"
2021-07-03 06:35:05,Active,Rachit Jain
2021-06-24 05:50:39,Active,Vin Vashishta
2021-06-02 20:51:42,Active,∞ Ravit Jain ∞
2021-05-31 16:55:37,Unfollow,Aditya Kumar
2021-05-11 20:41:09,Active,Josna John (she/her)
2021-01-26 18:43:10,Active,🦾Jepson Taylor
2021-01-15 07:56:57,Active,Priyanka Bulla
2021-01-13 14:14:41,Active,Sherin Rachel Jacob
2021-01-05 15:24:39,Active,Preksha Kaparwan
2021-01-04 11:15:05,Active,Michael Green
2020-12-22 19:40:47,Active,Shaurya Srivastav
2020-10-05 16:11:57,Active,Nikunj Verma - Cutshort
2020-09-11 22:07:18,Active,Erin Breslin-Garcia
2020-09-10 05:54:07,Active,Sayak Paul
2020-09-09 06:40:55,Active,Sanyam Bhutani
2020-09-06 16:03:55,Active,Vincent Boucher
2020-09-03 05:33:56,Active,Krish Naik
2020-09-03 05:33:46,Active,"Dr. AngShuMan Ghosh (Ph.D., MBA, BE)"
2020-09-01 15:52:37,Unfollow,shilpa jha
2020-08-30 13:04:10,Active,Jose Marcial Portilla
2020-08-30 08:54:02,Active,Allys Parsons
2020-07-29 06:41:12,Unfollow,Pooja T
2020-07-21 15:39:33,Active,Allie K. Miller
2020-07-08 16:29:51,Unfollow,Aatrayee Bhattacharjee
2020-07-08 15:58:46,Active,Pascal BORNET
2020-06-21 09:03:38,Active,Akshay Saini
2020-06-17 17:10:27,Active,Gururajan Govindan
2020-06-14 11:06:28,Active,Anshul Chawla
2020-06-13 06:55:22,Unfollow,Rinki Kumari Jha
2020-06-09 11:30:15,Active,🚀 Abhishek Thakur
2020-06-03 20:54:48,Active,Kunal Jain
2020-05-11 15:50:03,Active,Steve Nouri
2020-05-06 17:40:47,Active,"Lillian Pierson, P.E."
2020-05-02 18:59:06,Unfollow,Manisha Singh
2020-04-17 17:00:02,Unfollow,Barney Mutumha
2020-04-15 16:03:41,Active,Andrew Seaman
2020-02-07 02:06:14,Unfollow,Rakshit Muralinath
2019-10-30 03:04:34,Unfollow,Bhushan Singh Rathour
2016-01-27 00:00:00,Active,Rob Heap
2016-01-27 00:00:00,Active,Katie Knox
2016-01-14 00:00:00,Active,Meg Whitman
2016-01-14 00:00:00,Active,Ron Berger
2016-01-14 00:00:00,Active,Loic Le Meur
2016-01-14 00:00:00,Active,Kunal Bahl
2016-01-14 00:00:00,Active,Pete Cashmore
2016-01-14 00:00:00,Active,Sreeraman Thiagarajan
2016-01-14 00:00:00,Active,Naomi Simson B.Comm
2016-01-14 00:00:00,Active,Naveen Tewari
2016-01-14 00:00:00,Active,Dawn Strobel
2016-01-14 00:00:00,Active,Narendra Modi
2016-01-14 00:00:00,Active,Ash Monga
2016-01-14 00:00:00,Active,Steven Sinofsky
2015-12-08 00:00:00,Active,Rebekah Idrees
2015-11-25 00:00:00,Active,Brittany Whitmire
2015-11-25 00:00:00,Active,Satya Nadella
2015-11-25 00:00:00,Active,Toby Thomas
